"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"anxa1",4.84486612405454e-09,-0.597071540466565,0,0.214,0.00011514308830428
"arhgap6",4.84486612405454e-09,-0.599219341792218,0,0.214,0.00011514308830428
"camk1",4.84486612405454e-09,-0.661806424769697,0,0.214,0.00011514308830428
"mndal",4.84486612405454e-09,-0.662286338091954,0,0.214,0.00011514308830428
"mtx2",4.84486612405454e-09,-0.663902444065207,0,0.214,0.00011514308830428
"ndufaf8",4.84486612405454e-09,-0.728396827953489,0,0.214,0.00011514308830428
"g0s2",4.84486612405454e-09,-0.813609552112002,0,0.214,0.00011514308830428
"slc6a17",4.84486612405454e-09,-0.934950271477635,0,0.214,0.00011514308830428
"erc1",4.99121957888609e-09,1.54268722727342,0.493,0.129,0.000118621324511807
"tcf25",5.01470415172778e-09,0.835908833153725,0.807,0.543,0.000119179458869962
"specc1",5.24594672759086e-09,-0.667440069268179,0.013,0.257,0.000124675169927924
"slc19a1",5.25396371822109e-09,-0.826256346972184,0.04,0.329,0.000124865701727242
"cnn3",5.30058639488763e-09,-0.677498947567065,0.027,0.3,0.000125973736260899
"kcnab3",5.80786595755468e-09,1.30751984321088,0.373,0,0.000138029742347244
"tmem14b",5.8079633042269e-09,1.28223766064783,0.373,0,0.000138032055888257
"ift43",6.12135912646403e-09,-0.776060837637578,0.047,0.343,0.000145480220999544
"vstm4",6.20066265631727e-09,-0.800487169317147,0.033,0.314,0.000147364948690036
"pbx1",6.35019478508831e-09,-0.705823206629539,0.033,0.314,0.000150918729262409
"hic1",6.35050056372935e-09,-0.860676909858462,0.013,0.257,0.000150925996397592
"vasp",7.26122857245775e-09,-0.750468661261081,0.04,0.329,0.000172570358253031
"mphosph8",7.28499701884775e-09,1.32459847031261,0.553,0.171,0.000173135239149936
"pdlim1",7.50300712379787e-09,-0.677954902374626,0.02,0.271,0.00017831646730418
"ahnak",7.70027714182798e-09,-0.866035531286933,0.02,0.271,0.000183004786552684
"tle4",8.06344412522556e-09,1.40208411333713,0.52,0.157,0.000191635813080111
"rnf157",8.44517257908315e-09,1.42990691012223,0.453,0.071,0.00020070797151449
"ajuba",8.47134900219768e-09,-0.563961572272865,0.007,0.229,0.00020133008038623
"col4a2",8.47172880343705e-09,-0.692008971822287,0.007,0.229,0.000201339106742485
"cd248",8.47172880343705e-09,-0.837897114012835,0.007,0.229,0.000201339106742485
"kiaa1456",8.62402307637089e-09,1.44992719060139,0.367,0,0.000204958532433031
"hist1h4c",8.62402307637089e-09,1.44841145611591,0.367,0,0.000204958532433031
"fam134b",8.62416629518149e-09,1.42532768987831,0.367,0,0.000204961936171283
"rbms3",8.72131942297499e-09,-0.723063724019374,0.007,0.229,0.000207270877406424
"rgs7bp",8.97885610109894e-09,-0.594867725162513,0.007,0.229,0.000213391494098717
"rasl11a",9.24336676321852e-09,-0.848829369354738,0.007,0.229,0.000219677854494651
"gemin7",9.79530396130717e-09,-0.690455483791415,0.007,0.229,0.000232795193944426
"map1a",1.01739046044342e-08,1.3511495805293,0.513,0.129,0.000241793016828984
"ptms",1.01936166937105e-08,-0.986368359975468,0.367,0.686,0.000242261494342723
"amer2",1.02977149321714e-08,1.45027402894462,0.44,0.071,0.000244735493077985
"fam46a",1.03591879820588e-08,1.46691711114321,0.5,0.114,0.000246196461581609
"rexo2",1.08496460905403e-08,-0.545659433050467,0.027,0.286,0.00025785268898778
"nrp1",1.09969164616428e-08,-0.68458096473353,0.007,0.229,0.000261352716627403
"cabp1",1.10189581150828e-08,1.26055262848054,0.613,0.286,0.000261876558563058
"psme1",1.12133393401737e-08,-0.518831433294896,0.04,0.329,0.000266496222758568
"heyl",1.13190158752518e-08,-0.72917935232664,0.007,0.229,0.000269007731291235
"slc25a4",1.14776217882324e-08,-0.975812698097186,0.427,0.743,0.000272777159419131
"gpcpd1",1.15834803742563e-08,-0.758629495509709,0.06,0.371,0.000275292994574575
"timm13",1.16905328607934e-08,-0.903877941193207,0.1,0.443,0.000277837203969615
"sez6l2",1.17052776888892e-08,1.11413224752462,0.513,0.114,0.000278187629554142
"luc7l3",1.1749413551937e-08,0.990162737127951,0.747,0.529,0.000279236562475335
"pls3",1.23412935625932e-08,-0.436884093504307,0.007,0.229,0.000293303182808589
"lhx1",1.26940450358548e-08,1.11380024696854,0.627,0.214,0.000301686674322126
"dnm1",1.29648093198179e-08,-1.18607301033239,0.173,0.557,0.000308121658294792
"plce1",1.35647332639752e-08,-0.82732349214724,0.033,0.3,0.000322379450751634
"trim35",1.46439319283249e-08,-0.517463729110439,0.02,0.271,0.00034802768620857
"tbx3",1.51840217321829e-08,-0.700347946187751,0.013,0.243,0.000360863460487058
"gpatch2l",1.53906270614188e-08,1.40272900482362,0.433,0.071,0.00036577364274168
