"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"dennd6b",6.59484064525915e-149,-0.85032936534555,0.012,0.253,1.56732982775229e-144
"stk38",8.06712525010926e-149,-0.773571111504719,0.006,0.23,1.91723298694097e-144
"tmem215",1.18313818289534e-148,1.64446653121422,0.665,0.356,2.81184620546906e-144
"igfn1",6.38725638597869e-148,-1.57766182873044,0.003,0.216,1.51799535269169e-143
"2410018l13rik",1.23558894455786e-147,-0.662493072427569,0,0.202,2.93650068563622e-143
"selenot",1.2355891737019e-147,-0.595407142473525,0,0.202,2.93650123021994e-143
"slc25a6",1.50503354155911e-147,1.95268880129778,0.444,0,3.57686271486938e-143
"dennd1a",1.71434766051929e-147,-0.864625340497126,0.043,0.344,4.07431864999015e-143
"rpl13a",3.40771691506865e-147,1.8848195447348,0.597,0.228,8.09878002035217e-143
"mt2",6.3704768143762e-147,-0.664815854408491,0,0.201,1.51400751970465e-142
"rrp1",1.60714786199164e-146,-0.696228817591438,0.049,0.361,3.81954760880934e-142
"fam135b",1.72521763482295e-146,-0.935604905877169,0.087,0.445,4.10015223092021e-142
"gzmm",1.80190935106325e-145,-0.630179991017998,0.002,0.207,4.28241776373693e-141
"dusp11",3.11617518461265e-145,-0.696347365755679,0.027,0.3,7.40590194375042e-141
"mcrip1",8.69093220208053e-145,-0.52336241214662,0,0.198,2.06548694714646e-140
"gm26917",8.69093702817039e-145,-0.844636157665688,0,0.198,2.06548809411497e-140
"nsd2",8.6909386368676e-145,-0.654945031266075,0,0.198,2.06548847643795e-140
"zfp318",8.6909386368676e-145,-0.732059360125732,0,0.198,2.06548847643795e-140
"gm16286",8.69094185426133e-145,-0.570259922388005,0,0.198,2.06548924108375e-140
"bmyc",8.69094346295864e-145,-0.490855822655712,0,0.198,2.06548962340675e-140
"grin1",1.15412782099623e-144,-0.747277246410121,0.01,0.241,2.74290017937965e-140
"vamp2",1.85231725851728e-144,1.28441886840318,0.734,0.597,4.40221719659217e-140
"rpl15",3.414625404327e-144,1.86194009043293,0.591,0.23,8.11519873592354e-140
"3110021n24rik",4.46717486698304e-144,-0.478191492170897,0,0.198,1.06166877888719e-139
"1110008f13rik",4.46717817291589e-144,-0.516369256117738,0,0.198,1.06166956457519e-139
"cacna1h",5.18447755096478e-144,-1.05076476896736,0.054,0.366,1.23214293476229e-139
"arhgef17",6.06814131678973e-144,-0.657692014690565,0.017,0.264,1.44215446534825e-139
"1500011b03rik",2.29438556418581e-143,-0.486063538029191,0,0.197,5.452836731844e-139
"h13",1.17752018296899e-142,-0.561343294361617,0,0.196,2.79849446684411e-138
