"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"trir",1.98487238166411e-32,-0.849436238745504,0,0.272,4.71724770226292e-28
"chd3os",1.98487238166411e-32,-0.888657966132277,0,0.272,4.71724770226292e-28
"skp1a",1.98487238166411e-32,-0.900219802357954,0,0.272,4.71724770226292e-28
"d10wsu102e",1.98487238166411e-32,-0.923933665001785,0,0.272,4.71724770226292e-28
"gucy1a1",1.98487238166411e-32,-1.03198125220325,0,0.272,4.71724770226292e-28
"kcnc3",2.68509744552875e-32,-1.15711288136773,0.056,0.445,6.38140258904362e-28
"tmx4",2.94756777450847e-32,-1.03962602456209,0.124,0.595,7.00518957289683e-28
"grik5",3.30877630660894e-32,-1.04343422932649,0.048,0.428,7.8636377702868e-28
"sphkap",4.14819194183373e-32,-1.05893819034569,0.041,0.41,9.85859296896205e-28
"rit2",5.35927927991766e-32,-0.841295103463462,0.01,0.312,1.27368631366523e-27
"kcnh7",5.93951777713672e-32,-0.899323114965452,0.006,0.295,1.41158579491431e-27
"stx5a",9.97464791739155e-32,-0.956552001668766,0,0.266,2.37057482404728e-27
"mtss1",9.97472299922643e-32,-0.713411356545506,0,0.266,2.37059266799615e-27
"rack1",9.97472299922643e-32,-0.831188672562914,0,0.266,2.37059266799615e-27
"zfp106",9.97472299922643e-32,-0.831912087343195,0,0.266,2.37059266799615e-27
"atp5o.1",9.97472299922643e-32,-0.858146194429506,0,0.266,2.37059266799615e-27
"zfp804a",9.97472299922643e-32,-0.968687941888862,0,0.266,2.37059266799615e-27
"bsg",1.04550035184527e-31,-1.09736917977934,0.23,0.728,2.48473613619546e-27
"vtn",1.5928731639544e-31,-1.27798330877576,0.006,0.289,3.78562236145403e-27
"cst3",1.63475986184634e-31,-1.09542065011156,0.056,0.439,3.88517028766401e-27
"cers4",1.94979308824648e-31,-1.07041576339165,0.041,0.399,4.63387825352659e-27
"2510009e07rik",4.98933669071399e-31,-0.834912073686664,0,0.26,1.18576575791509e-26
"gm26917",4.98933669071399e-31,-1.27025018147036,0,0.26,1.18576575791509e-26
"2210016l21rik",4.98937413582954e-31,-0.737546895121727,0,0.26,1.18577465712125e-26
"tceal9",4.98937413582954e-31,-0.874166943105277,0,0.26,1.18577465712125e-26
"2010107e04rik",4.98937413582954e-31,-0.940288695819453,0,0.26,1.18577465712125e-26
"tmem234",5.68249722774302e-31,-0.878994672704328,0.015,0.318,1.35050229114541e-26
"clk1",8.64602092616825e-31,-0.945764393435572,0.141,0.624,2.05481333331315e-26
"sparcl1",1.02568009244054e-30,-1.40973139871997,0.035,0.382,2.43763130769418e-26
"hsp90b1",1.06650435152414e-30,-1.1275727761922,0.095,0.514,2.53465424183228e-26
"tmem63b",1.13678022676112e-30,-0.90496919035935,0.068,0.468,2.70167188692048e-26
"zfp950",2.4841389943145e-30,-0.73782829922697,0,0.254,5.90380473388784e-26
"supt16",2.4841389943145e-30,-0.922580311455064,0,0.254,5.90380473388784e-26
"b230219d22rik",2.48415758293627e-30,-0.735558838818951,0,0.254,5.90384891160634e-26
"erg28",2.48415758293627e-30,-0.745128039766427,0,0.254,5.90384891160634e-26
"mindy2",2.48415758293627e-30,-0.796199103590535,0,0.254,5.90384891160634e-26
"1110004f10rik",2.48415758293627e-30,-0.796316993148398,0,0.254,5.90384891160634e-26
"tubb5",2.48415758293627e-30,-0.80635379514039,0,0.254,5.90384891160634e-26
"hist3h2ba",2.48415758293627e-30,-0.866214483644174,0,0.254,5.90384891160634e-26
"sgta",2.92222688935758e-30,-0.924315557202111,0.066,0.462,6.94496442524722e-26
"linc00599",3.12789310028319e-30,2.14505977292018,0.508,0,7.43375074213304e-26
"dlg4",3.96162995641236e-30,-0.881620178448727,0.06,0.445,9.41520975440961e-26
"tsn",6.65584047284064e-30,-0.98537137493994,0.046,0.399,1.58182704677531e-25
"ttc3",8.04610811642379e-30,-0.916840009795334,0.506,0.879,1.91223805494928e-25
"sfr1",1.23115067442749e-29,-0.700770802918676,0,0.249,2.92595269284437e-25
"rab7",1.23115067442749e-29,-0.715757676692724,0,0.249,2.92595269284437e-25
"h2-d1",1.23115067442749e-29,-0.934323450100192,0,0.249,2.92595269284437e-25
"gng3",4.24811403774327e-29,-1.02222282473855,0.056,0.416,1.00960678221006e-24
"supt6",6.07370546757611e-29,-0.762807370924724,0,0.243,1.44347684142414e-24
"nsd2",6.07370546757611e-29,-0.776174231278121,0,0.243,1.44347684142414e-24
"d5ertd579e",6.07370546757611e-29,-0.800944633034882,0,0.243,1.44347684142414e-24
"edc4",6.07370546757611e-29,-0.903934371653645,0,0.243,1.44347684142414e-24
"rpl17",2.15702206407819e-28,-0.862098398660123,0.029,0.347,5.12637863748824e-24
"ints6l",2.98276132459373e-28,-0.83816518469887,0,0.237,7.08883056402945e-24
"a230050p20rik",2.98276132459373e-28,-0.923937621356724,0,0.237,7.08883056402945e-24
"resp18",2.98276132459373e-28,-1.08079972384758,0,0.237,7.08883056402945e-24
"adgrb1",3.27471594879959e-28,-1.01664092543206,0.064,0.434,7.78268992391711e-24
"dnm1",3.88798354159977e-28,-0.939649856768398,0.334,0.827,9.240181684966e-24
"polr2j3",4.00345652148978e-28,2.28195706360989,0.481,0,9.51461476897261e-24
"purb",4.49847021746001e-28,-1.06661861298469,0.156,0.59,1.06910643188155e-23
"pwar6",8.30731908925967e-28,2.12845443606096,0.477,0,1.97431745475345e-23
"napa",9.2196012614257e-28,-0.975514513438306,0.079,0.462,2.19113043579043e-23
"dbi",9.59505811080957e-28,-0.987653086694082,0.054,0.405,2.280361510615e-23
"linc00632",1.19474170010014e-27,2.26021038395354,0.475,0,2.83942312445799e-23
"qk",1.45819127730944e-27,-0.801987667822922,0,0.231,3.46553738965361e-23
"bc005561",1.45820206193427e-27,-0.644410973013109,0,0.231,3.46556302039299e-23
"zfp207",1.45820206193427e-27,-0.651315273352061,0,0.231,3.46556302039299e-23
"marf1",1.45820206193427e-27,-0.716986586206626,0,0.231,3.46556302039299e-23
"car10",1.45820206193427e-27,-0.766643639494591,0,0.231,3.46556302039299e-23
"amy1",1.45820206193427e-27,-0.855681015398553,0,0.231,3.46556302039299e-23
"sncb",2.42285537521897e-27,-1.23890963389496,0.147,0.543,5.75815808474541e-23
"maged1",3.03233277687097e-27,-0.9519248306768,0.089,0.48,7.20664207751156e-23
"eri3",3.19643350323527e-27,-0.728286057656334,0.027,0.329,7.59664386378894e-23
"syt4",6.12074911993649e-27,-1.0896895293595,0.133,0.549,1.45465723584411e-22
"zfp706",7.09682229030596e-27,-0.645863224263994,0,0.225,1.68663078551411e-22
"d8ertd738e",7.09682229030596e-27,-0.653387293234938,0,0.225,1.68663078551411e-22
"mtfp1",7.09682229030596e-27,-0.668115444015343,0,0.225,1.68663078551411e-22
"usp29",7.09682229030596e-27,-0.670288971440858,0,0.225,1.68663078551411e-22
"nop53",7.09682229030596e-27,-0.707225348719175,0,0.225,1.68663078551411e-22
"mcrip1",7.09682229030596e-27,-0.748509976581638,0,0.225,1.68663078551411e-22
"hist1h4c",1.39158474029178e-26,2.11032399749026,0.488,0.029,3.30724029377744e-22
"pid1",3.14628163098279e-26,-0.729287749105388,0.021,0.301,7.4774529241937e-22
"podxl2",3.3199716901393e-26,-1.09713730959495,0.239,0.723,7.89024471878506e-22
"mtss1l",3.43848412086719e-26,-0.645607581167562,0,0.22,8.17190136165297e-22
"gm16286",3.43850940495375e-26,-0.636044225991386,0,0.22,8.17196145181309e-22
"eloc",3.43850940495375e-26,-0.64616769492129,0,0.22,8.17196145181309e-22
"retreg3",3.43850940495375e-26,-0.68822761732775,0,0.22,8.17196145181309e-22
"ptpa",3.43850940495375e-26,-0.692928278203498,0,0.22,8.17196145181309e-22
"rtraf",3.43850940495375e-26,-0.701264094215999,0,0.22,8.17196145181309e-22
"zfp148",3.43850940495375e-26,-0.784352938907437,0,0.22,8.17196145181309e-22
"zfp704",3.43850940495375e-26,-0.810042170061158,0,0.22,8.17196145181309e-22
"vax2os",3.43850940495375e-26,-0.991337077701375,0,0.22,8.17196145181309e-22
"gas1",3.87298037074206e-26,-0.773008903392931,0.01,0.26,9.20452514910558e-22
"st8sia1",4.11838438725476e-26,-1.08655646052449,0.046,0.364,9.78775233474966e-22
"hdac11",1.59441665636446e-25,-0.70913539574821,0.029,0.318,3.78929062551578e-21
"mtcl1",1.65862014949061e-25,-0.836163990185771,0,0.214,3.94187664727939e-21
"1500011b03rik",1.65863231081183e-25,-0.582572457396083,0,0.214,3.9419055498754e-21
"zfp329",1.65863231081183e-25,-0.605335797022498,0,0.214,3.9419055498754e-21
"hprt",1.65863231081183e-25,-0.694011734789541,0,0.214,3.9419055498754e-21
"gucy1b1",1.65863231081183e-25,-0.726879653441907,0,0.214,3.9419055498754e-21
"mir670hg",1.65863231081183e-25,-0.782442715887849,0,0.214,3.9419055498754e-21
"h2-k1",1.65863231081183e-25,-0.833224822279944,0,0.214,3.9419055498754e-21
"tspoap1",1.65863231081183e-25,-0.950882923268322,0,0.214,3.9419055498754e-21
"dennd1a",2.28753524887019e-25,-0.854312168580223,0.046,0.364,5.4365562724649e-21
"soga3",2.33452263294776e-25,-0.680407673123152,0.004,0.231,5.54822648946366e-21
"rph3a",4.96923734421705e-25,-1.00335016765968,0.089,0.457,1.18098894722662e-20
"lamp5",6.21631369883674e-25,-1.06632132512604,0.087,0.457,1.47736911366554e-20
"gabarap",6.3281257186403e-25,-0.815495453088439,0.008,0.243,1.50394235829205e-20
"sem1",7.96558661619121e-25,-0.514895931383528,0,0.208,1.893101315204e-20
"mtch2",7.96558661619121e-25,-0.557619000907808,0,0.208,1.893101315204e-20
"ai480526",7.96558661619121e-25,-0.611325013362921,0,0.208,1.893101315204e-20
"1700025g04rik",7.96558661619121e-25,-0.706511060356227,0,0.208,1.893101315204e-20
"mfsd4a",7.96558661619121e-25,-0.719408044113775,0,0.208,1.893101315204e-20
"nap1l5",9.08587288575697e-25,-1.03986044602074,0.058,0.382,2.159348550029e-20
"cygb",9.36339311639582e-25,-0.790964740484853,0.052,0.376,2.22530400804263e-20
"syn1",1.00888803370831e-24,-0.872900252120979,0.058,0.387,2.39772330091117e-20
"rpgrip1",1.07168666729818e-24,-0.984348210985088,0.008,0.243,2.54697053350087e-20
"chka",1.5132231471588e-24,-0.873921121704917,0.027,0.301,3.59632613153761e-20
"strn3",2.14459211090286e-24,-0.739356170917582,0.058,0.387,5.09683761077173e-20
"lnpk",3.80879760380587e-24,-0.558832058696291,0,0.202,9.05198838520504e-20
"1810037i17rik",3.80879760380587e-24,-0.621038776138449,0,0.202,9.05198838520504e-20
"trank1",6.33172988097678e-24,-0.879706448341495,0.062,0.387,1.50479892351294e-19
"gatsl2",8.07684309317006e-24,-0.824093474818009,0.006,0.225,1.9195425295228e-19
"pnmal2",9.50785183381349e-24,-0.804401348033084,0.079,0.428,2.25963606682411e-19
"dynll2",1.39749180960379e-23,-0.902168418806671,0.127,0.514,3.32127903470436e-19
"ftl",1.46478201959055e-23,2.01864337392404,0.419,0,3.4812009477589e-19
"tro",1.68726630020664e-23,-0.757533676465733,0.017,0.26,4.00995708907109e-19
"actg1",1.7955127701655e-23,2.08156256062214,0.475,0.064,4.26721564957533e-19
"bmyc",1.81332632747925e-23,-0.562413315725206,0,0.197,4.30955134988718e-19
"zfp871",1.81332632747925e-23,-0.563535478407464,0,0.197,4.30955134988718e-19
"rex1bd",1.81332632747925e-23,-0.598305104813561,0,0.197,4.30955134988718e-19
"2610507b11rik",1.81332632747925e-23,-0.640687754407125,0,0.197,4.30955134988718e-19
"carmil3",1.81332632747925e-23,-0.691903720873175,0,0.197,4.30955134988718e-19
"h13",1.81332632747925e-23,-0.815464292685961,0,0.197,4.30955134988718e-19
"bc034090",1.81332632747925e-23,-0.948719033243887,0,0.197,4.30955134988718e-19
"ncdn",2.29656654879655e-23,-0.705331052844652,0.01,0.237,5.45802005986988e-19
"rfc2",3.70010951407698e-23,-0.742187492835377,0.006,0.22,8.79368027115534e-19
"camkv",4.23734179518416e-23,-0.866005986022818,0.178,0.607,1.00704665104347e-18
"dusp11",5.24645402122688e-23,-0.738003886263801,0.025,0.283,1.24687226268478e-18
"syt11",6.78269244505744e-23,-0.977547286422295,0.176,0.595,1.61197468649235e-18
"ube2d2a",8.59603592064141e-23,-0.473252864522933,0,0.191,2.04293389689964e-18
"fmc1",8.59603592064141e-23,-0.491994032861021,0,0.191,2.04293389689964e-18
"tmem167",8.59603592064141e-23,-0.496019462984189,0,0.191,2.04293389689964e-18
"9930021j03rik",8.59603592064141e-23,-0.561677572635168,0,0.191,2.04293389689964e-18
"zfp612",8.59603592064141e-23,-0.600839828966411,0,0.191,2.04293389689964e-18
"zfp219",8.59603592064141e-23,-0.69986618294224,0,0.191,2.04293389689964e-18
"zfp326",8.59603592064141e-23,-0.704143770178863,0,0.191,2.04293389689964e-18
"zfp444",8.59603592064141e-23,-0.715668830699605,0,0.191,2.04293389689964e-18
"hjurp",8.59603592064141e-23,-0.779175679488756,0,0.191,2.04293389689964e-18
"abhd16a",1.18647420689606e-22,-0.630671825972837,0.004,0.208,2.81977460010918e-18
"pfn1",1.48229537207189e-22,-0.620990307973662,0.019,0.26,3.52282318126605e-18
"pde6g",1.59213906401283e-22,1.49523923506368,0.637,0.254,3.78387769953289e-18
"ttc14",2.02597988689786e-22,-0.825299426734557,0.226,0.653,4.81494379920145e-18
"rnf187",2.04411463996778e-22,-0.789344524898083,0.145,0.538,4.85804285334742e-18
"cplx3",2.63451501428763e-22,-1.19414564806912,0.253,0.63,6.26118838295598e-18
"gprasp2",2.67356114905584e-22,-0.722305620300077,0.039,0.318,6.35398542684612e-18
"kctd8",2.79575280417691e-22,-0.70488981492436,0.015,0.243,6.64438611440684e-18
"cspp1",3.78097632847121e-22,-0.691403079109577,0.052,0.353,8.98586834224467e-18
"0610012g03rik",4.05762387000865e-22,-0.549668911007143,0,0.185,9.64334888946255e-18
"zfp318",4.05762387000865e-22,-0.560688545668535,0,0.185,9.64334888946255e-18
"mtf2",4.05762387000865e-22,-0.684929209921172,0,0.185,9.64334888946255e-18
"grk3",4.05762387000865e-22,-0.772135456986071,0,0.185,9.64334888946255e-18
"igf1",4.05762387000865e-22,-0.886643663833632,0,0.185,9.64334888946255e-18
"prph2",4.27695906049512e-22,-0.910727613347949,0.046,0.335,1.01646209031727e-17
"nlgn3",5.76251884995369e-22,-0.668230591902967,0.017,0.249,1.36952022987999e-17
"psd",6.14852866490837e-22,-0.84955567696589,0.062,0.364,1.46125932250212e-17
"ppip5k1",6.58766863767199e-22,-0.64145740948323,0.062,0.376,1.56562532842913e-17
"gprasp1",8.81555369039074e-22,-0.923488717747999,0.139,0.514,2.09510449005826e-17
"clpp",9.0414137799749e-22,-0.600281588937665,0.019,0.254,2.14878239894884e-17
"ilf2",9.34520914467724e-22,-0.676328081913668,0.058,0.364,2.22098240532399e-17
"rpl22l1",1.02504503820519e-21,-0.787326305177102,0.025,0.272,2.43612203779846e-17
"srgap3",1.07527122659938e-21,1.66074259757273,0.608,0.289,2.5554895971361e-17
"anp32a",1.47443953075596e-21,-0.770430674940226,0.114,0.474,3.50415298879462e-17
"cenpc1",1.90728146788719e-21,-0.467954222318464,0,0.179,4.5328451365807e-17
"zfp664",1.90728146788719e-21,-0.484823365955211,0,0.179,4.5328451365807e-17
"cops9",1.90728146788719e-21,-0.515270602867978,0,0.179,4.5328451365807e-17
"arxes1",1.90728146788719e-21,-0.548522021548977,0,0.179,4.5328451365807e-17
"2410015m20rik",1.90728146788719e-21,-0.612558156250134,0,0.179,4.5328451365807e-17
"gm37494",1.90728146788719e-21,-0.645655519145799,0,0.179,4.5328451365807e-17
"cyp51",1.90728146788719e-21,-0.647820550937941,0,0.179,4.5328451365807e-17
"mia2",1.90728146788719e-21,-0.648740776923954,0,0.179,4.5328451365807e-17
"9330159f19rik",1.90728146788719e-21,-0.704133471308675,0,0.179,4.5328451365807e-17
"car11",1.90728146788719e-21,-0.72004787784375,0,0.179,4.5328451365807e-17
"gabpb1-as1",1.99333833356149e-21,2.01771822399646,0.388,0,4.73736788354223e-17
"fam57b",2.00627947577814e-21,-0.95434511678713,0.095,0.428,4.76812380213433e-17
"prom1",2.5073163878386e-21,-1.21742332716105,0.041,0.306,5.95888812733721e-17
"dennd6b",2.58485513717201e-21,-0.844667437521043,0.039,0.306,6.14316671900301e-17
"ebf3",2.70326549726758e-21,-1.00306070587285,0.027,0.272,6.42458078080613e-17
"fth1",2.94367920366447e-21,0.98606835312246,0.793,0.566,6.99594799542899e-17
"polr2m",3.23024912419368e-21,-0.717218395901406,0.021,0.254,7.6770100685587e-17
"rrp1",3.25509244387927e-21,-0.641065472661516,0.046,0.329,7.73605270212347e-17
"cdc37l1",3.34624219019723e-21,-0.645177496200849,0.044,0.324,7.95267918922275e-17
"ndufa7",3.58138863060038e-21,-0.718676583003885,0.021,0.254,8.51152821948486e-17
"kcnip3",4.78228299151692e-21,-0.742489754648215,0.002,0.185,1.13655737576391e-16
"tspan13",5.22995656040375e-21,-0.733495792861889,0.031,0.283,1.24295147614556e-16
"ppib",6.08687177104685e-21,-0.588862721196512,0.06,0.364,1.44660594510699e-16
"gm10419",8.92777758410696e-21,-0.701475390249094,0,0.173,2.12177562063886e-16
"selenot",8.92784177327982e-21,-0.438267022797609,0,0.173,2.12179087583768e-16
"gfra4",8.92784177327982e-21,-0.486748084452077,0,0.173,2.12179087583768e-16
"csf2ra",8.92784177327982e-21,-0.487254546948213,0,0.173,2.12179087583768e-16
"zfp512",8.92784177327982e-21,-0.501861471173994,0,0.173,2.12179087583768e-16
"mtx2",8.92784177327982e-21,-0.516798563213955,0,0.173,2.12179087583768e-16
"mtmr3",8.92784177327982e-21,-0.551762251068998,0,0.173,2.12179087583768e-16
"fam92a",8.92784177327982e-21,-0.562959565636233,0,0.173,2.12179087583768e-16
"gm13889",8.92784177327982e-21,-0.610397622290678,0,0.173,2.12179087583768e-16
"zfp451",8.92784177327982e-21,-0.658764654347141,0,0.173,2.12179087583768e-16
"2900011o08rik",8.92784177327982e-21,-0.678042301783146,0,0.173,2.12179087583768e-16
"2410089e03rik",8.92784177327982e-21,-0.707441688560387,0,0.173,2.12179087583768e-16
"g6pc3",1.14507080243296e-20,-0.629101507277302,0.019,0.243,2.72137526906218e-16
"scn1a",1.266622854247e-20,-0.946232827473254,0.05,0.324,3.01025587540343e-16
"dad1",1.27943332339151e-20,-0.678024142387737,0.031,0.283,3.04070123637227e-16
"hsp90aa1",1.28476289018449e-20,1.20781270215745,0.749,0.532,3.05336748481246e-16
"pde10a",1.30203693176429e-20,-0.793539398821765,0.033,0.283,3.09442097203102e-16
"eif3c",1.39666196944266e-20,-0.597809121453226,0.033,0.289,3.31930683657742e-16
"slc24a3",1.44792902615819e-20,-0.864763586502914,0.054,0.341,3.44114812356756e-16
"slc15a2",2.00068974677524e-20,-0.757581695260972,0.006,0.197,4.75483925218604e-16
