"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"wdr6",9.04132982101752e-19,-0.426201240833535,0.104,0.571,3.63560913432935e-14,41.5473104992067,"CC","wdr6"
"mdm1",9.99517812582354e-19,-0.515220987628285,0.013,0.337,4.0191610761749e-14,41.4470139776002,"CC","mdm1"
"as3mt",1.01661542162276e-18,-0.542819304710697,0,0.297,4.08791227188728e-14,41.4300527781732,"CC","as3mt"
"b230118h07rik",1.01662610117425e-18,-0.523651944251569,0,0.297,4.08795521543179e-14,41.430042273222,"CC","b230118h07rik"
"alkbh6",1.01662610117425e-18,-0.526604906730075,0,0.297,4.08795521543179e-14,41.430042273222,"CC","alkbh6"
"mtfr1l",1.01662610117425e-18,-0.579324573221292,0,0.297,4.08795521543179e-14,41.430042273222,"CC","mtfr1l"
"mindy2",1.01662610117425e-18,-0.591618666639619,0,0.297,4.08795521543179e-14,41.430042273222,"CC","mindy2"
"mia2",1.01662610117425e-18,-0.596050868599931,0,0.297,4.08795521543179e-14,41.430042273222,"CC","mia2"
"supt5",1.01662610117425e-18,-0.717218410887522,0,0.297,4.08795521543179e-14,41.430042273222,"CC","supt5"
"impg1",1.01953988713683e-18,1.99615454513942,0.628,0.377,4.09967184016592e-14,41.4271802394111,"CC","impg1"
"sf3b6",1.02487945069003e-18,-0.368827015247296,0.065,0.48,4.12114275916967e-14,41.4219566773018,"CC","sf3b6"
"dusp23",1.0495151611134e-18,-0.616819898747637,0.013,0.337,4.2202054143531e-14,41.3982033676839,"CC","dusp23"
"rnf10",1.04999522680712e-18,-0.383422324975196,0.069,0.486,4.2221358065141e-14,41.3977460556317,"CC","rnf10"
"rbx1",1.06418480705582e-18,-0.472570646576239,0.117,0.594,4.27919352765215e-14,41.3843226072139,"CC","rbx1"
"mien1",1.08861682451451e-18,-0.560057761613726,0.013,0.337,4.3774371130553e-14,41.3616237518092,"CC","mien1"
"atp11b",1.0981388469717e-18,-0.530843008525167,0.035,0.394,4.41572611755789e-14,41.3529148843633,"CC","atp11b"
"trappc4",1.17468927208078e-18,-0.336321116777789,0.052,0.446,4.72354303196401e-14,41.2855280105625,"CC","trappc4"
"mbnl2",1.18951383016132e-18,-0.415364628893685,0.13,0.629,4.78315406246168e-14,41.27298699633,"CC","mbnl2"
"scp2",1.19358562010084e-18,-0.529669474847945,0.078,0.503,4.79952713698749e-14,41.2695697710007,"CC","scp2"
"psmb3",1.2925244144603e-18,-0.262054266130552,0.069,0.491,5.19736992298632e-14,41.1899344573398,"CC","psmb3"
"r3hdm1",1.38753478263461e-18,-0.471942405569283,0.048,0.429,5.57941611445203e-14,41.1190030390031,"CC","r3hdm1"
"pbx3",1.46807394913495e-18,-0.467358548524275,0.078,0.503,5.90327215686657e-14,41.0625803708991,"CC","pbx3"
"hap1",1.50325500781901e-18,-0.597437949073377,0.009,0.32,6.04473871194103e-14,41.0388989116327,"CC","hap1"
"etnk1",1.5777674488153e-18,-0.425622699582506,0.095,0.549,6.3443606884312e-14,40.9905208331688,"CC","etnk1"
"gns",1.57988636468939e-18,-0.5770942501802,0.03,0.383,6.3528810610525e-14,40.9891787505231,"CC","gns"
"psmd4",1.58648527210346e-18,-0.309710632572833,0.082,0.514,6.37941592765521e-14,40.9850106251577,"CC","psmd4"
"ndufb6",1.7913672134666e-18,-0.364921087087082,0.035,0.394,7.20326670207054e-14,40.8635525391859,"CC","ndufb6"
"neurod1",1.84323581379617e-18,-0.718232606778305,0.312,0.846,7.41183553085579e-14,40.8350090523342,"CC","neurod1"
"emc2",1.92905529570207e-18,-0.376532842711774,0.048,0.429,7.75692424954761e-14,40.7895012749047,"CC","emc2"
"smim14",2.04275436069735e-18,-0.412927802777245,0.082,0.514,8.21411955980011e-14,40.7322325998934,"CC","smim14"
"pfdn2",2.06997402769721e-18,-0.326334915339901,0.061,0.463,8.32357256277323e-14,40.7189956137004,"CC","pfdn2"
"hibadh",2.07871812655991e-18,-0.507527505429559,0.009,0.32,8.35873345871006e-14,40.7147802554692,"CC","hibadh"
"rab6b",2.07945146131007e-18,-0.510450762834824,0.013,0.331,8.36168227107391e-14,40.714427535484,"CC","rab6b"
"ehd4",2.11265779454342e-18,-0.369644537408232,0.061,0.463,8.49520825763854e-14,40.6985849007914,"CC","ehd4"
"wdr78",2.1174305324296e-18,-0.512695787337587,0.03,0.383,8.51439991395267e-14,40.6963283332956,"CC","wdr78"
"fam107b",2.13073336879665e-18,-0.537764204374306,0.013,0.331,8.5678919492682e-14,40.6900654488313,"CC","fam107b"
"son",2.14133518040218e-18,-0.710454815021803,0.416,0.914,8.61052289391521e-14,40.685102123338,"CC","son"
"tmem9",2.15320612624248e-18,-0.419782381136754,0.078,0.503,8.65825715423365e-14,40.6795737210118,"CC","tmem9"
