"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"atp5o",2.03502639875439e-19,1.34096669661763,0.58,0,8.18304465203129e-15,43.0386079757156,"M","atp5o"
"selt",2.03502639875439e-19,1.2947902594414,0.58,0,8.18304465203129e-15,43.0386079757156,"M","selt"
"itgax",2.03502639875439e-19,1.27536542990853,0.58,0,8.18304465203129e-15,43.0386079757156,"M","itgax"
"ctss",2.21632575584201e-19,-2.85006187585177,0.62,0.932,8.91206749681632e-15,42.9532660070718,"M","ctss"
"apoe",2.59039006061679e-19,1.43373947516855,0.94,0.297,1.04162174727462e-14,42.7973082999601,"M","apoe"
"rbm3",6.76969518500066e-19,1.50609036222422,0.6,0.008,2.72216213084062e-14,41.8366607053484,"M","rbm3"
"ptma",7.21848412864642e-19,1.47592721137725,0.94,0.331,2.90262465297001e-14,41.7724717905068,"M","ptma"
"slc2a3",7.64896150352951e-19,1.75562505109356,0.62,0.017,3.07572391018425e-14,41.7145468794361,"M","slc2a3"
"apmap",8.36701498160392e-19,1.16003713970899,0.62,0.017,3.36446039425275e-14,41.6248195790164,"M","apmap"
"cycs",1.05249443650053e-18,1.19375960352842,0.68,0.034,4.23218537861229e-14,41.3953686733176,"M","cycs"
"ch25h",1.07750623770204e-18,1.58408184828808,0.56,0,4.33276033242366e-14,41.3718823418632,"M","ch25h"
"serpina1",1.07750623770204e-18,1.44243989881852,0.56,0,4.33276033242366e-14,41.3718823418632,"M","serpina1"
"rp11-160e2.6",1.07750623770204e-18,1.3336600228615,0.56,0,4.33276033242366e-14,41.3718823418632,"M","rp11-160e2.6"
"irs2",1.07750623770204e-18,1.16101697110096,0.56,0,4.33276033242366e-14,41.3718823418632,"M","irs2"
"lilrb4",1.07750623770204e-18,1.11469325702944,0.56,0,4.33276033242366e-14,41.3718823418632,"M","lilrb4"
"rab7a",1.07750623770204e-18,1.02750747413898,0.56,0,4.33276033242366e-14,41.3718823418632,"M","rab7a"
"ppp1r15a",1.34540124999674e-18,2.3088749306596,0.6,0.017,5.40999296636191e-14,41.1498393781946,"M","ppp1r15a"
"rps6",1.54951585795615e-18,1.80452001929194,0.9,0.364,6.23075821642749e-14,41.0085891414587,"M","rps6"
"sorl1",1.84629892795134e-18,1.57183489226807,0.66,0.034,7.42415261918515e-14,40.8333486181205,"M","sorl1"
"cd83",2.08522688337537e-18,2.08104008495886,0.64,0.034,8.38490582074069e-14,40.7116540075956,"M","cd83"
"herpud1",2.56810506297967e-18,1.89464615335259,0.74,0.093,1.03266072687475e-13,40.5033633765267,"M","herpud1"
"htra1",3.07707644961498e-18,1.50117879670935,0.58,0.008,1.23732321115468e-13,40.3225517323578,"M","htra1"
"slc1a3",4.38437842069618e-18,1.42860174794636,0.68,0.042,1.76300240674614e-13,39.9684838093829,"M","slc1a3"
"znf331",5.59855560250329e-18,2.23134322810626,0.54,0,2.2512351933226e-13,39.7240230375453,"M","znf331"
"cd69",5.59855560250329e-18,2.03508517433728,0.54,0,2.2512351933226e-13,39.7240230375453,"M","cd69"
"fcgr1a",5.59855560250329e-18,1.55967525166523,0.54,0,2.2512351933226e-13,39.7240230375453,"M","fcgr1a"
"atp5i",5.59855560250329e-18,1.33016014485657,0.54,0,2.2512351933226e-13,39.7240230375453,"M","atp5i"
"zfas1",5.59855560250329e-18,1.17828230306963,0.54,0,2.2512351933226e-13,39.7240230375453,"M","zfas1"
"shfm1",5.59855560250329e-18,1.16167742198664,0.54,0,2.2512351933226e-13,39.7240230375453,"M","shfm1"
"linc00936",5.59855560250329e-18,1.11669310171478,0.54,0,2.2512351933226e-13,39.7240230375453,"M","linc00936"
"phc2",6.25706658043552e-18,1.2227316163657,0.7,0.059,2.51602904265893e-13,39.6128201959814,"M","phc2"
"wsb1",8.24468189811985e-18,1.66175174807628,0.68,0.059,3.31526903805297e-13,39.3369632998117,"M","wsb1"
"vim",8.33088849406972e-18,2.07853560763407,0.8,0.127,3.34993357235038e-13,39.3265615614489,"M","vim"
