"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"wbp11",0.0684054721159013,0.529234624439932,0.137,0.058,1,2.68230245585913,"HC","wbp11"
"ubap2l",0.0684525046705152,-0.440748949420261,0.059,0.13,1,2.68161513667512,"HC","ubap2l"
"arhgef7",0.0687606666778855,0.372508837778247,0.203,0.101,1,2.6771234027919,"HC","arhgef7"
"ccdc124",0.0687899094718385,-0.302105046303902,0.039,0.101,1,2.67669820945266,"HC","ccdc124"
"ano10",0.0687899094718385,-0.32249766332391,0.039,0.101,1,2.67669820945266,"HC","ano10"
"zc3h14",0.0691211818322507,0.37942899911146,0.183,0.087,1,2.67189405636499,"HC","zc3h14"
"oat",0.0691554114408242,0.267937211613535,0.144,0.058,1,2.67139896737759,"HC","oat"
"cbx1",0.0692340562391641,0.464842277883929,0.176,0.087,1,2.67026239523631,"HC","cbx1"
"ncoa1",0.069417779489677,0.376516166916401,0.196,0.101,1,2.66761225566802,"HC","ncoa1"
"tusc2",0.069417779489677,0.316352488155571,0.196,0.101,1,2.66761225566802,"HC","tusc2"
"sirt3",0.0696394088709925,-0.262555268172549,0.039,0.101,1,2.66442465247268,"HC","sirt3"
"cystm1",0.0696394088709925,-0.274265075486552,0.039,0.101,1,2.66442465247268,"HC","cystm1"
"trmt1",0.0696394088709925,-0.296777629191069,0.039,0.101,1,2.66442465247268,"HC","trmt1"
"nr3c1",0.0696624531713801,0.487061645971336,0.137,0.058,1,2.66409379830806,"HC","nr3c1"
"mpi",0.0696624531713801,0.460008734852892,0.137,0.058,1,2.66409379830806,"HC","mpi"
"gtf2a1",0.0696624531713801,0.420503949107083,0.137,0.058,1,2.66409379830806,"HC","gtf2a1"
"nfia",0.0697765686845901,0.254417636576,0.144,0.058,1,2.6624570177689,"HC","nfia"
"sbf2",0.0699302458243171,0.638127923676717,0.15,0.072,1,2.66025702198129,"HC","sbf2"
"ppdpf",0.0699302458243171,0.599156458295524,0.15,0.072,1,2.66025702198129,"HC","ppdpf"
"gon4l",0.0702295838248386,0.348497026999974,0.255,0.145,1,2.65598563471744,"HC","gon4l"
"cep63",0.0703271590456109,0.553116714393667,0.118,0.043,1,2.65459722410897,"HC","cep63"
"chd1",0.0703271590456109,0.495280884778367,0.118,0.043,1,2.65459722410897,"HC","chd1"
"dnajc19",0.0703589859581132,0.405652833088926,0.176,0.087,1,2.65414477140946,"HC","dnajc19"
"ywhah",0.0704922809719902,0.346799520099579,0.196,0.101,1,2.65225206491736,"HC","ywhah"
"yipf1",0.0704975022739513,-0.300630926606694,0.039,0.101,1,2.65217799852981,"HC","yipf1"
"fkbp4",0.0705167400701368,0.278053065506458,0.281,0.159,1,2.65190514954682,"HC","fkbp4"
"ndufa10",0.0707983321148708,-0.741341788058968,0.176,0.261,1,2.64791983625952,"HC","ndufa10"
"uty",0.0709383352226721,0.545465090681899,0.137,0.058,1,2.64594429731163,"HC","uty"
"map7d2",0.0709672828244641,-0.477921629239831,0.078,0.159,1,2.64553631343344,"HC","map7d2"
"atp6v1d",0.0711990699114501,0.280896031498418,0.255,0.145,1,2.64227552369096,"HC","atp6v1d"
"hypk",0.0713642499417347,-0.331901124484429,0.039,0.101,1,2.6399582361254,"HC","hypk"
"uqcrc2",0.0715803880220319,0.374951677954905,0.196,0.101,1,2.63693415284263,"HC","uqcrc2"
"fbxo44",0.0715834255316425,0.470796370707409,0.137,0.058,1,2.63689171880102,"HC","fbxo44"
"pcmtd1",0.0716727361773204,0.423548196924612,0.19,0.101,1,2.63564485226232,"HC","pcmtd1"
"h2afv",0.0720634033204266,0.272132030664956,0.301,0.174,1,2.63020894579567,"HC","h2afv"
"sept11",0.0721649785096413,0.330053605400517,0.216,0.116,1,2.62880041295741,"HC","sept11"
"tmem258",0.0722333148249395,0.440696557818782,0.137,0.058,1,2.62785391533861,"HC","tmem258"
"phax",0.0722497912834778,0.451027157226164,0.209,0.116,1,2.62762584080376,"HC","phax"
"ccny",0.0723117189462977,0.320519374259036,0.163,0.072,1,2.62676907517494,"HC","ccny"
"snrpb",0.0728808907924366,-0.73315923371081,0.098,0.174,1,2.61892880337686,"HC","snrpb"
"clasp1",0.0730677827241198,0.438905826398732,0.183,0.087,1,2.6163677381841,"HC","clasp1"
"pank2",0.0735475888708495,0.394054926137114,0.137,0.058,1,2.60982261464947,"HC","pank2"
"prmt2",0.0735475888708495,0.35446026400094,0.137,0.058,1,2.60982261464947,"HC","prmt2"
"arhgef12",0.0735784157497193,0.36522274067267,0.301,0.188,1,2.6094035605278,"HC","arhgef12"
"rnf216",0.0745671503371219,0.51419970732474,0.118,0.043,1,2.59605521275872,"HC","rnf216"
"eif4a1",0.0746446635173603,0.267974908016692,0.314,0.188,1,2.59501624425873,"HC","eif4a1"
"cdipt",0.0748477527112607,0.310422909265579,0.216,0.116,1,2.59229919246488,"HC","cdipt"
"pigx",0.0752937172541677,0.445594855887333,0.118,0.043,1,2.58635858385691,"HC","pigx"
"cdk13",0.0752937172541677,0.398609813537211,0.118,0.043,1,2.58635858385691,"HC","cdk13"
"nhlrc2",0.0752937172541677,0.373685195649574,0.118,0.043,1,2.58635858385691,"HC","nhlrc2"
"psmd2",0.0759605046306452,0.277105517648274,0.235,0.13,1,2.5775417496867,"HC","psmd2"
"pfdn2",0.076026053492738,-0.541999580873649,0.072,0.145,1,2.57667918832645,"HC","pfdn2"
"bnip2",0.0762206130227224,0.321419989376833,0.19,0.101,1,2.57412334076212,"HC","bnip2"
"las1l",0.0763398097605493,0.436599280618176,0.17,0.087,1,2.57256072367039,"HC","las1l"
"cmpk1",0.0763400258527382,0.357553932608148,0.17,0.087,1,2.57255789301253,"HC","cmpk1"
"acyp1",0.0767928841498696,0.348116809663231,0.157,0.072,1,2.56664329741976,"HC","acyp1"
